ids,labels,parents,values,Valores reales,Faltante,16,<-- Este es el selector de municipio,
General Cepeda,General Cepeda 39%,,0,39,,39.05555556,Aquí sumo y divido entre 18 que son los indicadores totales,
INDICE DE TRANSPARENCIA,INDICE DE TRANSPARENCIA 95%,General Cepeda,0,95,,95,,
NORMATIVIDAD,NORMATIVIDAD 16%,General Cepeda,0,16,,16.66666667,,
DATOS ABIERTOS,DATOS ABIERTOS 50%,General Cepeda,0,50,,50,,
DENUNCIAS,DENUNCIAS 33%,General Cepeda,0,33,,33.33333333,,
SOLICITUDES,SOLICITUDES 100%,General Cepeda,0,100,,100,,
PEAC,PEAC 0%,General Cepeda,0,0,,0,,
IMPACTO CIUDADANO,IMPACTO CIUDADANO 54%,General Cepeda,0,54,,54,,
SEI,SEI 0%,General Cepeda,0,0,,0,,
Transparencia,Transparencia,INDICE DE TRANSPARENCIA,5,95,5,2,95.98,"<--(Matriz, Selector de municipio, selector de fila )"
Plan de trabajo,Plan de trabajo,NORMATIVIDAD,75,25,75,3,25,
Reglamento,Reglamento,NORMATIVIDAD,75,25,75,4,25,
Vigencia convenio,Vigencia convenio,NORMATIVIDAD,100,0,100,5,0,
Accesibilidad,Accesibilidad,DATOS ABIERTOS,0,100,0,7,100,
Legibilidad de datos,Legibilidad de datos,DATOS ABIERTOS,75,25,75,8,25,
No-licencia,No-licencia,DATOS ABIERTOS,0,100,0,9,100,
Vinculos de descarga,Vinculos de descarga,DATOS ABIERTOS,75,25,75,10,25,
Estandar de Datos,Estandar de Datos,DATOS ABIERTOS,100,0,100,11,0,
Buzón de fácil acceso,Buzón de fácil acceso,DENUNCIAS,50,50,50,13,50,
Vinculado a SEI,Vinculado a SEI,DENUNCIAS,50,50,50,14,50,
Facil acceso y visible,Facil acceso y visible,DENUNCIAS,100,0,100,15,0,
Solicitudes Atendidas,Solicitudes Atendidas,SOLICITUDES,0,100,0,17,100,
Percepción,Percepción,IMPACTO CIUDADANO,75,25,75,22,25,
Incidencia,Incidencia,IMPACTO CIUDADANO,17,83,17,23,83.33333333,
Información entregada a el SEA,Información entregada a el SEA,SEI,100,0,100,18,0,
Convenio con SEA,Convenio con SEA,SEI,100,0,100,19,0,
Interoperabilidad de Datos,Interoperabilidad de Datos,SEI,100,0,100,20,0,
Alineación,Alineación,PEAC,100,0,100,25,0,
Conceptualización,Conceptualización,PEAC,100,0,100,26,0,
Consulta a PEAC,Consulta a PEAC,PEAC,100,0,100,27,0,
Transparencia-Avance,Avance 95%,Transparencia,95,,,,,
Plan de trabajo-Avance,Avance 25%,Plan de trabajo,25,,,,,
Reglamento-Avance,Avance 25%,Reglamento,25,,,,,
Vigencia convenio-Avance,Avance 0%,Vigencia convenio,0,,,,,
Accesibilidad-Avance,Avance 100%,Accesibilidad,100,,,,,
Legibilidad de datos-Avance,Avance 25%,Legibilidad de datos,25,,,,,
No-licencia-Avance,Avance 100%,No-licencia,100,,,,,
Vinculos de descarga-Avance,Avance 25%,Vinculos de descarga,25,,,,,
Estandar de Datos-Avance,Avance 0%,Estandar de Datos,0,,,,,
Buzón de fácil acceso-Avance,Avance 50%,Buzón de fácil acceso,50,,,,,
Vinculado a SEI-Avance,Avance 50%,Vinculado a SEI,50,,,,,
Facil acceso y visible-Avance,Avance 0%,Facil acceso y visible,0,,,,,
Solicitudes Atendidas-Avance,Avance 100%,Solicitudes Atendidas,100,,,,,
Percepción-Avance,Avance 25%,Percepción,25,,,,,
Incidencia-Avance,Avance 83%,Incidencia,83,,,,,
Información entregada a el SEA-Avance,Avance 0%,Información entregada a el SEA,0,,,,,
Convenio con SEA-Avance,Avance 0%,Convenio con SEA,0,,,,,
Interoperabilidad de Datos-Avance,Avance 0%,Interoperabilidad de Datos,0,,,,,
